Training Loss	Validation Loss	Test Loss	
 6.1782e+00	 5.7442e+00	 5.6920e+00	
 5.7257e+00	 5.5119e+00	 5.4535e+00	
 5.5380e+00	 5.3714e+00	 5.3069e+00	
 5.4126e+00	 5.2695e+00	 5.2050e+00	
 5.3220e+00	 5.1867e+00	 5.1248e+00	
 5.2414e+00	 5.1364e+00	 5.0731e+00	
 5.1992e+00	 5.1131e+00	 5.0500e+00	
 5.1779e+00	 5.1008e+00	 5.0389e+00	
 5.1648e+00	 5.0958e+00	 5.0343e+00	
 5.1585e+00	 5.0931e+00	 5.0318e+00	
 5.1558e+00	 5.0919e+00	 5.0307e+00	
 5.1542e+00	 5.0914e+00	 5.0301e+00	
 5.1530e+00	 5.0913e+00	 5.0299e+00	
 5.1546e+00	 5.0911e+00	 5.0298e+00	
 5.1529e+00	 5.0910e+00	 5.0297e+00	
 5.1529e+00	 5.0910e+00	 5.0297e+00	
 5.1536e+00	 5.0910e+00	 5.0297e+00	
 5.1522e+00	 5.0910e+00	 5.0297e+00	
 5.1511e+00	 5.0910e+00	 5.0297e+00	
 5.1539e+00	 5.0910e+00	 5.0297e+00	
 5.1526e+00	 5.0910e+00	 5.0297e+00	
 5.1529e+00	 5.0910e+00	 5.0297e+00	
 5.1528e+00	 5.0910e+00	 5.0297e+00	
 5.1532e+00	 5.0910e+00	 5.0297e+00	
 5.1527e+00	 5.0910e+00	 5.0297e+00	
 5.1526e+00	 5.0910e+00	 5.0297e+00	
 5.1516e+00	 5.0910e+00	 5.0297e+00	
 5.1520e+00	 5.0910e+00	 5.0297e+00	
 5.1530e+00	 5.0910e+00	 5.0297e+00	
 5.1530e+00	 5.0910e+00	 5.0297e+00	
 5.1517e+00	 5.0910e+00	 5.0297e+00	
 5.1525e+00	 5.0910e+00	 5.0297e+00	
